source,source_id,paper_id,type,domain,candidate_score,question_text,equation,correct_answer,fave_annotation_status,notes
WirelessMATHBench-XL,7422,2508.08225v1,fill_blank_50,,14,Fill in the missing signal-to-noise ratio parameter and the summation term that accounts for multi-user interference.,$$R_{\text{sum}} = \cfrac{K B}{2} \cdot \left(1 - \cfrac{K}{B_c T_c}\right) \cdot \log_2 \left(1 + \cfrac{(M - K) \cdot \mathrm{SNR}}{\min\limits_k \cfrac{1}{\gamma_k} + [MASK] \cdot \left([MASK] - 1\right)} \right)$$,\boxed{\mathrm{SNR}} and \boxed{\sum_{k=1}^{K} \cfrac{\beta_k}{\gamma_k}}},unlabeled,"Real dataset candidate. Needs gold formula, units, valid evidence, and true-but-inapplicable evidence annotation."
WirelessMATHBench-XL,7421,2508.08225v1,fill_blank_25,,13,What term representing the channel estimation error impact is missing from the SINR denominator?,$$R_{\text{sum}} = \cfrac{K B}{2} \cdot \left(1 - \cfrac{K}{B_c T_c}\right) \cdot \log_2 \left(1 + \cfrac{(M - K) \cdot \mathrm{SNR}}{[MASK] + \mathrm{SNR} \cdot \left(\sum_{k=1}^{K} \cfrac{\beta_k}{\gamma_k} - 1\right)} \right)$$,\boxed{\min\limits_k \cfrac{1}{\gamma_k}}},unlabeled,"Real dataset candidate. Needs gold formula, units, valid evidence, and true-but-inapplicable evidence annotation."
WirelessMATHBench-XL,1152,2406.04188v2,fill_blank_50,,13,Fill in the numerator (desired signal power) and the interference term.,$$\mathsf{SE}_k = \log \left(1 + \frac{ [MASK] }{ \sum_{u \neq k} [MASK] + \sigma_k^2 } \right)$$,\boxed{\| ( \mathbf{H}_k + \mathbf{G}_k \boldsymbol{\Theta} \mathbf{H}_{BR} ) \mathbf{f}_k \|_2^2} and \boxed{\| ( \mathbf{H}_k + \mathbf{G}_k \boldsymbol{\Theta} \mathbf{H}_{BR} ) \mathbf{f}_u \|_2^2},unlabeled,"Real dataset candidate. Needs gold formula, units, valid evidence, and true-but-inapplicable evidence annotation."
WirelessMATHBench-XL,7423,2508.08225v1,fill_blank_75,,12,Complete the pilot overhead fraction and the parameters related to antenna advantage and signal quality.,$$R_{\text{sum}} = \cfrac{K B}{2} \cdot \left(1 - [MASK]\right) \cdot \log_2 \left(1 + \cfrac{([MASK] - K) \cdot [MASK]}{\min\limits_k \cfrac{1}{\gamma_k} + \mathrm{SNR} \cdot \left(\sum_{k=1}^{K} \cfrac{\beta_k}{\gamma_k} - 1\right)} \right)$$,"\boxed{\cfrac{K}{B_c T_c}}}, \boxed{M}}, and \boxed{\mathrm{SNR}}}",unlabeled,"Real dataset candidate. Needs gold formula, units, valid evidence, and true-but-inapplicable evidence annotation."
WirelessMATHBench-XL,2147,2503.17805v1,fill_blank_50,,12,Fill in the two missing interference covariance terms in the denominator.,"$$\gamma_{\mathrm{s}l}(\mathbf{J}, \boldsymbol{\varphi}_l) = \dfrac{ \bar{\alpha} \boldsymbol{\varphi}_l^\mathsf{H} \mathbf{V}_{\mathrm{R}l} \boldsymbol{\Sigma} \mathbf{V}_{\mathrm{R}l}^\mathsf{H} \boldsymbol{\varphi}_l }{ \bar{\alpha} \sum_{\jmath \in \mathcal{L} \backslash \{l\}} [MASK] + [MASK] + \Vert \boldsymbol{\varphi}_l \Vert^2 }$$",\boxed{\boldsymbol{\varphi}_l^\mathsf{H} \mathbf{V}_{\mathrm{R}\jmath} \boldsymbol{\Sigma} \mathbf{V}_{\mathrm{R}\jmath}^\mathsf{H} \boldsymbol{\varphi}_l} and \boxed{\boldsymbol{\varphi}_l^\mathsf{H} \mathbf{G} \boldsymbol{\Sigma} \mathbf{G}^\mathsf{H} \boldsymbol{\varphi}_l},unlabeled,"Real dataset candidate. Needs gold formula, units, valid evidence, and true-but-inapplicable evidence annotation."
WirelessMATHBench-XL,16222,2204.09447v1,fill_blank_50,,12,Fill in the channel power gain variable and the complete denominator of the SNR fraction.,$$D_k^u = \frac{n_k}{B_k^u \log_2\left(1 + \frac{\varphi(\mathrm{BER}_k) [MASK] p_k^u}{[MASK]}\right)}$$,\boxed{h_k^u} and \boxed{N_0 B_k^u},unlabeled,"Real dataset candidate. Needs gold formula, units, valid evidence, and true-but-inapplicable evidence annotation."
WirelessMATHBench-XL,1151,2406.04188v2,fill_blank_25,,12,What term represents the total interference power from other users?,$$\mathsf{SE}_k = \log \left(1 + \frac{ \| ( \mathbf{H}_k + \mathbf{G}_k \boldsymbol{\Theta} \mathbf{H}_{BR} ) \mathbf{f}_k \|_2^2 }{ [MASK] + \sigma_k^2 } \right)$$,\boxed{\sum_{u \neq k} \| ( \mathbf{H}_k + \mathbf{G}_k \boldsymbol{\Theta} \mathbf{H}_{BR} ) \mathbf{f}_u \|_2^2},unlabeled,"Real dataset candidate. Needs gold formula, units, valid evidence, and true-but-inapplicable evidence annotation."
WirelessMATHBench-XL,7991,2206.03108v1,fill_blank_25,,11,What probability term weights the blocked (NLoS) path loss component?,"$$S(y) = \frac{P_M G_{M,B} G_{M,U} \left[ y^{-\zeta_{M,1}} [1 - p_B(y)] + y^{-\zeta_{M,2}} [MASK] \right]}{A_M (N_0 B_M + M_{M,I})}$$",\boxed{p_B(y)},unlabeled,"Real dataset candidate. Needs gold formula, units, valid evidence, and true-but-inapplicable evidence annotation."
WirelessMATHBench-XL,7762,2504.20425v1,fill_blank_50,,11,Fill in the two signal power terms inside the numerator's parentheses.,$$\mathcal{R}_d^i = B \log_2 \left( 1 + \dfrac{e^{-E} \omega_0 \left( [MASK] + [MASK] \right) }{(d_{su}^i d_{du}^i)^{\alpha} \tilde{\sigma}_d^i} \right)$$,\boxed{\zeta_i^4 \eta^i \omega_0 P_s} and \boxed{\zeta_i^2 \bar{P}_u (d_{su}^i)^{\alpha}}},unlabeled,"Real dataset candidate. Needs gold formula, units, valid evidence, and true-but-inapplicable evidence annotation."
WirelessMATHBench-XL,7652,2311.08840v1,fill_blank_50,,11,What is the composite effective channel from the BS to user $k$?,"$$\mathrm{SINR}_{k} = \frac{ | [MASK] \mathbf{w}_{k} |^{2} }{ \sum_{i=1, i\neq k}^{K} | [MASK] \mathbf{w}_{i} |^{2} + \sigma_{k}^{2} }$$","\boxed{\mathbf{h}_{2,k} \pmb{\Phi} \mathbf{H}_{1}} (to be used in both blanks)",unlabeled,"Real dataset candidate. Needs gold formula, units, valid evidence, and true-but-inapplicable evidence annotation."
WirelessMATHBench-XL,6989,2504.18168v1,fill_blank_100,,11,Write the complete achievable rate equation for device $k$ in the mutualism phase.,$$R_k^{BC} = [MASK]$$,\boxed{\tau_0 B \log_2\left(1 + \dfrac{P_p |\Gamma_k h_k g_k|^2}{P_p |h_p|^2 + \sigma^2}\right)}},unlabeled,"Real dataset candidate. Needs gold formula, units, valid evidence, and true-but-inapplicable evidence annotation."
WirelessMATHBench-XL,6987,2504.18168v1,fill_blank_50,,11,Fill in the backscatter coefficient and the channel from the device to the receiver.,$$R_k^{BC} = \tau_0 B \log_2\left(1 + \dfrac{P_p |[MASK]\ h_k g_k|^2}{P_p |h_p|^2 + \sigma^2}\right)$$,"\boxed{\Gamma_k} and \boxed{g_k} (The equation expects a single term, so the answer is the product $\Gamma_k g_k$)",unlabeled,"Real dataset candidate. Needs gold formula, units, valid evidence, and true-but-inapplicable evidence annotation."
WirelessMATHBench-XL,568,2503.08937v1,fill_blank_75,,11,"Fill in the three missing coefficients for desired power, interference power, and noise.","$$R _ { k } = \log _ { 2 } \left( 1 + \frac { [MASK] \left\lVert \boldsymbol{h} _ { k } ^ { T } \boldsymbol{f} _ { m , k } \right\rVert ^ { 2 } } { [MASK] \left\lVert \boldsymbol{h} _ { k } ^ { T } \boldsymbol{f} _ { m , k ^ { \prime } } \right\rVert ^ { 2 } + [MASK] } \right)$$","\boxed{\frac { P _ { T } } { K }}, \boxed{\sum _ { \substack { k ^ { \prime } \in \mathcal{K} \\ k ^ { \prime } \ne k } } \frac { P _ { T } } { K }}, and \boxed{\sigma ^ { 2 }}",unlabeled,"Real dataset candidate. Needs gold formula, units, valid evidence, and true-but-inapplicable evidence annotation."
WirelessMATHBench-XL,4909,2505.19843v1,fill_blank_100,,11,Write the complete equation defining the normalized denominator $Z_k$ of the SINR.,$$Z_k = [MASK]$$,\boxed{1 + \frac{E_s}{N_0} \sum_{k' = k + 1}^{K_u} \sum_{p = 1}^{P} |h_p^{(k')}|^2}},unlabeled,"Real dataset candidate. Needs gold formula, units, valid evidence, and true-but-inapplicable evidence annotation."
WirelessMATHBench-XL,4659,2506.07880v1,fill_blank_100,,11,Write the complete equation for the aggregate data rate of UE $k$ across all PRBs.,$$R_k = [MASK]$$,"\boxed{\sum_{b=1}^{B} \delta_{k,b} \cdot \log_2 \left(1 + \frac{P_{k} \cdot g_{k}}{\sigma^{2} + I}\right)}",unlabeled,"Real dataset candidate. Needs gold formula, units, valid evidence, and true-but-inapplicable evidence annotation."
WirelessMATHBench-XL,4484,2505.15841v1,fill_blank_100,,11,Write the complete SINR equation for the $k$-th strongest user in a NOMA cluster.,$$[MASK] = [MASK]$$,"\boxed{\mathrm{SINR}_{a,u_k}(t) = \frac{G_{a,u_k}(t) P_{a,u_k}(t) }{\sum_{j=k+1}^{K_a(t)} G_{a,u_k}(t) P_{a,u_j}(t) + I_{\mathrm{ICI},u_k}(t) + \sigma_{\mathrm{noise}}^2 }}",unlabeled,"Real dataset candidate. Needs gold formula, units, valid evidence, and true-but-inapplicable evidence annotation."
WirelessMATHBench-XL,4482,2505.15841v1,fill_blank_50,,11,Fill in the two types of interference experienced by the user.,"$$\mathrm{SINR}_{a,u_k}(t) = \frac{G_{a,u_k}(t) P_{a,u_k}(t) }{[MASK] + [MASK] + \sigma_{\mathrm{noise}}^2 }$$","\boxed{\sum_{j=k+1}^{K_a(t)} G_{a,u_k}(t) P_{a,u_j}(t)} and \boxed{I_{\mathrm{ICI},u_k}(t)}",unlabeled,"Real dataset candidate. Needs gold formula, units, valid evidence, and true-but-inapplicable evidence annotation."
WirelessMATHBench-XL,4439,2506.01400v1,fill_blank_100,,11,Write the complete optimal power allocation formula for a communication user equipment (UE).,"$$P_{C,k,i} = [MASK]$$","\boxed{\left[ \frac{B (1 + \nu_{k,i})}{\mu \ln 2} - \frac{N_{0,k} + I_{k,i}}{\lambda_{k,i}} \right]^{+}}",unlabeled,"Real dataset candidate. Needs gold formula, units, valid evidence, and true-but-inapplicable evidence annotation."
WirelessMATHBench-XL,427,2507.16666v1,fill_blank_50,,11,Fill in the two terms in the denominator: the interference power and the noise power.,$$\gamma_k = \frac{p_k \left| \mathbf{w}_k^\mathrm{H} \mathbf{h}_k \right|^2}{[MASK] + [MASK]}$$,\boxed{\sum_{j=k+1}^K p_j \left| \mathbf{w}_k^\mathrm{H} \mathbf{h}_j \right|^2} and \boxed{\sigma_a^2}},unlabeled,"Real dataset candidate. Needs gold formula, units, valid evidence, and true-but-inapplicable evidence annotation."
WirelessMATHBench-XL,3527,2202.01946v1,fill_blank_50,,11,Identify the two components that constitute the denominator.,$$\mathrm{SINR}_k = \frac{\frac{P}{K} |(\mathbf{w}_{\mathrm{RF}_k} w_{\mathrm{BB}_k})^H \mathbf{H}_k \mathbf{F}_{\mathrm{RF}} \mathbf{f}_{\mathrm{BB}_k}|^2}{[MASK] + [MASK]}$$,\boxed{\frac{P}{K} \sum_{j \neq k}^K |(\mathbf{w}_{\mathrm{RF}_k} w_{\mathrm{BB}_k})^H \mathbf{H}_k \mathbf{F}_{\mathrm{RF}} \mathbf{f}_{\mathrm{BB}_j}|^2} and \boxed{\sigma^2 \|\mathbf{w}_{\mathrm{RF}_k} w_{\mathrm{BB}_k}\|_2^2},unlabeled,"Real dataset candidate. Needs gold formula, units, valid evidence, and true-but-inapplicable evidence annotation."
WirelessMATHBench-XL,3169,2505.08682v1,fill_blank_100,,11,Write the complete expression for the instantaneous downlink rate of an HB UE.,$$r_e^{(t)} = [MASK]$$,\boxed{K_e^{(t)} B \log_2 \left(1 + \gamma_e^{(t)}\right)},unlabeled,"Real dataset candidate. Needs gold formula, units, valid evidence, and true-but-inapplicable evidence annotation."
WirelessMATHBench-XL,3167,2505.08682v1,fill_blank_50,,11,Fill in the bandwidth parameter and the signal-to-noise ratio term.,$$r_e^{(t)} = K_e^{(t)} [MASK] \log_2 \left(1 + [MASK]\right)$$,\boxed{B} and \boxed{\gamma_e^{(t)}},unlabeled,"Real dataset candidate. Needs gold formula, units, valid evidence, and true-but-inapplicable evidence annotation."
WirelessMATHBench-XL,2148,2503.17805v1,fill_blank_75,,11,Complete the three missing scalar coefficients and the final noise term.,"$$\gamma_{\mathrm{s}l}(\mathbf{J}, \boldsymbol{\varphi}_l) = \dfrac{ [MASK] \boldsymbol{\varphi}_l^\mathsf{H} \mathbf{V}_{\mathrm{R}l} \boldsymbol{\Sigma} \mathbf{V}_{\mathrm{R}l}^\mathsf{H} \boldsymbol{\varphi}_l }{ [MASK] \sum_{\jmath \in \mathcal{L} \backslash \{l\}} \boldsymbol{\varphi}_l^\mathsf{H} \mathbf{V}_{\mathrm{R}\jmath} \boldsymbol{\Sigma} \mathbf{V}_{\mathrm{R}\jmath}^\mathsf{H} \boldsymbol{\varphi}_l + \boldsymbol{\varphi}_l^\mathsf{H} \mathbf{G} \boldsymbol{\Sigma} \mathbf{G}^\mathsf{H} \boldsymbol{\varphi}_l + [MASK] }$$","\boxed{\bar{\alpha}}, \boxed{\bar{\alpha}}, and \boxed{\Vert \boldsymbol{\varphi}_l \Vert^2}",unlabeled,"Real dataset candidate. Needs gold formula, units, valid evidence, and true-but-inapplicable evidence annotation."
WirelessMATHBench-XL,2145,2503.17805v1,MCQ,,11,Which expression correctly represents the sensing SINR for target $l$ that should replace [MASK]?,"$$\gamma_{\mathrm{s}l}(\mathbf{J}, \boldsymbol{\varphi}_l) = [MASK]$$",B,unlabeled,"Real dataset candidate. Needs gold formula, units, valid evidence, and true-but-inapplicable evidence annotation."
WirelessMATHBench-XL,18832,2101.09137v2,fill_blank_50,,11,What is the summation term for the interference from other users?,$$\rho_k = \frac{ \left| \left( \mathbf{g}_k^T \prod_{i=1}^{I_k} \mathbf{\Phi}_i \mathbf{H}_i + \mathbf{w}_k \right) \mathbf{f}_k \right|^2 }{ [MASK] + \sigma_n^2 }$$,\boxed{\sum_{j \neq k}^K \left| \left( \mathbf{g}_k^T \prod_{i=1}^{I_k} \mathbf{\Phi}_i \mathbf{H}_i + \mathbf{w}_k \right) \mathbf{f}_j \right|^2},unlabeled,"Real dataset candidate. Needs gold formula, units, valid evidence, and true-but-inapplicable evidence annotation."
WirelessMATHBench-XL,1798,2501.16306v1,fill_blank_75,,11,"Complete the five missing components: digital combiner, analog combiner, analog precoder, digital precoder, and analog combiner.",$$\mathcal{R} = \frac{1}{K} \sum_{k=1}^{K} \log_2 \left[ \det \left( \mathbf{I}_{N_s} + \frac{P_r}{\sigma_n^2} [MASK] [MASK] \mathbf{H}[k] [MASK] [MASK] \mathbf{F}_{\mathrm{BB}}^{*}[k] \mathbf{F}_{\mathrm{RF}}^{*} \mathbf{H}^{*}[k] [MASK] [MASK] \right) \right]$$,"\boxed{\mathbf{W}_{\mathrm{BB}}^{*}[k]}, \boxed{\mathbf{W}_{\mathrm{RF}}^{*}}, \boxed{\mathbf{F}_{\mathrm{RF}}}, \boxed{\mathbf{F}_{\mathrm{BB}}[k]}, \boxed{\mathbf{W}_{\mathrm{RF}}}",unlabeled,"Real dataset candidate. Needs gold formula, units, valid evidence, and true-but-inapplicable evidence annotation."
WirelessMATHBench-XL,1795,2501.16306v1,MCQ,,11,Which expression correctly represents the effective signal-to-noise ratio matrix that should replace [MASK]?,$$\mathcal{R} = \frac{1}{K} \sum_{k=1}^{K} \log_2 \left[ \det \left( \mathbf{I}_{N_s} + \frac{P_r}{\sigma_n^2} [MASK] \right) \right]$$,A,unlabeled,"Real dataset candidate. Needs gold formula, units, valid evidence, and true-but-inapplicable evidence annotation."
WirelessMATHBench-XL,17572,2502.21080v1,fill_blank_50,,11,Fill in the transmit power term and the path loss component.,"$$\mathcal{F}(c,i,\rho) = \left\lceil \frac{ \ell }{ q } \left[ \log_2 \left(1 - \frac{ [MASK] \ln(\rho) }{ \Lambda_c [MASK] } \right) \right]^{-1} \right\rceil$$",\boxed{\Gamma_T} and \boxed{d_i^{\alpha}},unlabeled,"Real dataset candidate. Needs gold formula, units, valid evidence, and true-but-inapplicable evidence annotation."
WirelessMATHBench-XL,1697,2508.14753v1,fill_blank_50,,11,What term accounts for the interference caused by the dedicated sensing signals?,$$\gamma_k^{\mathrm{DL}} = \frac{ | \mathbf{h}_k^H \mathbf{f}_k |^2 }{ \displaystyle\sum_{\substack{i=1 \\ i \neq k}}^K | \mathbf{h}_k^H \mathbf{f}_i |^2 + [MASK] + \sigma_k^2 }$$,\boxed{\sum_{m=1}^M \mathbf{h}_k^H \mathbf{S}_m \mathbf{h}_k},unlabeled,"Real dataset candidate. Needs gold formula, units, valid evidence, and true-but-inapplicable evidence annotation."
WirelessMATHBench-XL,16034,2211.15990v1,fill_blank_100,,11,Write the complete channel capacity equation for the hybrid massive MIMO system.,$$C = [MASK]$$,\boxed{\log \left( \left| \mathbf{I}_K + \frac{\rho}{N} \mathbf{R}_n^{-1} \mathbf{W} \mathbf{H} \mathbf{A} \mathbf{D} (\mathbf{W} \mathbf{H} \mathbf{A} \mathbf{D})^H \right| \right)},unlabeled,"Real dataset candidate. Needs gold formula, units, valid evidence, and true-but-inapplicable evidence annotation."
WirelessMATHBench-XL,16032,2211.15990v1,fill_blank_50,,11,What matrix accounts for the colored noise after combining?,$$C = \log \left( \left| \mathbf{I}_K + \frac{\rho}{N} [MASK] \mathbf{W} \mathbf{H} \mathbf{A} \mathbf{D} (\mathbf{W} \mathbf{H} \mathbf{A} \mathbf{D})^H \right| \right)$$,\boxed{\mathbf{R}_n^{-1}},unlabeled,"Real dataset candidate. Needs gold formula, units, valid evidence, and true-but-inapplicable evidence annotation."
WirelessMATHBench-XL,1153,2406.04188v2,fill_blank_75,,11,Complete the four missing components describing the combined channel.,$$\mathsf{SE}_k = \log \left(1 + \frac{ \| ( [MASK] + [MASK] [MASK] [MASK] ) \mathbf{f}_k \|_2^2 }{ \sum_{u \neq k} \| ( [MASK] + [MASK] [MASK] [MASK] ) \mathbf{f}_u \|_2^2 + \sigma_k^2 } \right)$$,"\boxed{\mathbf{H}_k}, \boxed{\mathbf{G}_k}, \boxed{\boldsymbol{\Theta}}, \boxed{\mathbf{H}_{BR}}",unlabeled,"Real dataset candidate. Needs gold formula, units, valid evidence, and true-but-inapplicable evidence annotation."
WirelessMATHBench-XL,1150,2406.04188v2,MCQ,,11,Which expression correctly represents the argument of the logarithm function (SINR) that should replace [MASK]?,$$\mathsf{SE}_k = \log \left(1 + [MASK] \right)$$,A,unlabeled,"Real dataset candidate. Needs gold formula, units, valid evidence, and true-but-inapplicable evidence annotation."
WirelessMATHBench-XL,10792,2205.05036v1,fill_blank_50,,11,Fill in both instances of the desired signal power expression.,$$\xi_i^{UL}(m) = \frac{[MASK]}{RSSI_i(m) - [MASK]}$$,"\boxed{\sum_{k=1}^K P_{ik}^{se}(m) g_{ik}^{UL}(m) \theta_i(m,t)}",unlabeled,"Real dataset candidate. Needs gold formula, units, valid evidence, and true-but-inapplicable evidence annotation."
WirelessMathBench,chien2021ris_q3_fillin_4,,fill_in_the_blank,['RIS'],10,Write full uplink SINR equation,\mathrm{SINR}_{uk} = [MASK],\boxed{\frac{\rho_u \eta_k \left(\sum_{m=1}^M \gamma_{mk}\right)^2}{\mathsf{MI}_{uk} + \sum_{m=1}^M \gamma_{mk}}},unlabeled,"Real dataset candidate. Needs gold formula, units, valid evidence, and true-but-inapplicable evidence annotation."
WirelessMathBench,chien2021ris_q3_fillin_3,,fill_in_the_blank,['RIS'],10,"Complete power term, coefficient, and noise",\mathrm{SINR}_{uk} = \frac{[MASK][MASK]}{\mathsf{MI}_{uk} + [MASK]},\boxed{\rho_u} and \boxed{\eta_k \left(\sum_{m=1}^M \gamma_{mk}\right)^2} and \boxed{\sum_{m=1}^M\gamma_{mk}},unlabeled,"Real dataset candidate. Needs gold formula, units, valid evidence, and true-but-inapplicable evidence annotation."
WirelessMathBench,chien2021ris_q3_fillin_2,,fill_in_the_blank,['RIS'],10,Fill in transmit power/coefficient and interference label,\mathrm{SINR}_{uk} = \frac{[MASK] \left(\sum_{m=1}^M \gamma_{mk}\right)^2}{[MASK] + \sum_{m=1}^M\gamma_{mk}},\boxed{\rho_u \eta_k} and \boxed{\mathsf{MI}_{uk}},unlabeled,"Real dataset candidate. Needs gold formula, units, valid evidence, and true-but-inapplicable evidence annotation."
WirelessMathBench,chien2021ris_q3_fillin_1,,fill_in_the_blank,['RIS'],10,What is aggregated from all APs in the numerator?,\mathrm{SINR}_{uk} = \frac{\rho_u \eta_k \left([MASK]\right)^2}{\mathsf{MI}_{uk} + \mathsf{NO}_{uk}},\boxed{\sum_{m=1}^M \gamma_{mk}},unlabeled,"Real dataset candidate. Needs gold formula, units, valid evidence, and true-but-inapplicable evidence annotation."
WirelessMathBench,an2023stacked_q4_fillin_2,,fill_in_the_blank,['SIM'],10,Fill in the missing beamforming vector and transmit power in the numerator.,"\gamma_k = \frac{\Bigl|\boldsymbol{h}_k^H\,\boldsymbol{G}\,[MASK]\Bigr|^2\,[MASK]}{ \sum_{k'\neq k} \Bigl|\boldsymbol{h}_k^H\,\boldsymbol{G}\,\boldsymbol{w}_{k'}^1\Bigr|^2\,p_{k'} + \sigma_k^2 }",\boxed{\boldsymbol{w}_k^1} \quad\text{and}\quad \boxed{p_k}.,unlabeled,"Real dataset candidate. Needs gold formula, units, valid evidence, and true-but-inapplicable evidence annotation."
WirelessMATHBench-XL,9539,2406.19084v1,fill_blank_100,,10,Write the complete expression for the channel capacity in the high-SNR regime.,$$C = [MASK]$$,\boxed{\sum_{i=1}^{R} \log_2\left(1 + \frac{P_i \lambda_i}{\sigma^2}\right)}},unlabeled,"Real dataset candidate. Needs gold formula, units, valid evidence, and true-but-inapplicable evidence annotation."
